number,bias,entangled,wave,psi
53,0.011502347417840376,0.0,0.9997532801828658,0.019774475520908816
28,0.01056338028169014,0.0,0.9997532801828658,0.019750086764125693
03,0.010093896713615023,0.0,0.9997532801828658,0.019737892385734132
78,0.007981220657276996,0.0,0.9997532801828657,0.019683017682972107
54,0.0107981220657277,0.0,0.9879583809693739,0.019526413189422286
04,0.010328638497652582,0.0,0.9879583809693737,0.019514218811030718
79,0.010093896713615023,0.0,0.9879583809693735,0.019508121621834938
29,0.008450704225352112,0.0,0.9879583809693737,0.01946544129746447
77,0.011502347417840376,0.0,0.9801468428384716,0.019392531936277765
52,0.011267605633802818,0.0,0.9801468428384716,0.019386434747081984
27,0.0107981220657277,0.0,0.9801468428384714,0.019374240368690416
02,0.009389671361502348,0.0,0.9801468428384715,0.019337657233515732
55,0.0107981220657277,0.0,0.9455032620941839,0.018699365419126375
05,0.0107981220657277,0.0,0.9455032620941839,0.018699365419126375
30,0.010093896713615023,0.0,0.9455032620941842,0.01868107385153904
80,0.008450704225352112,0.0,0.9455032620941839,0.018638393527168565
51,0.01244131455399061,0.0,0.9303710135019716,0.018447261680012185
76,0.009624413145539907,0.0,0.9303710135019715,0.01837409540966281
01,0.00892018779342723,0.0,0.9303710135019718,0.01835580384207548
26,0.007042253521126761,0.0,0.9303710135019718,0.01830702632850923
06,0.012206572769953052,0.0,0.8750555348152298,0.01736359023068507
56,0.011737089201877934,0.0,0.8750555348152301,0.017351395852293516
81,0.00868544600938967,0.0,0.8750555348152302,0.017272132392748368
31,0.008450704225352112,0.0,0.87505553481523,0.01726603520355258
25,0.012206572769953052,0.0,0.8535533905932737,0.016944717291296315
50,0.010093896713615023,0.0,0.853553390593274,0.016889842588534293
00,0.009389671361502348,0.0,0.8535533905932737,0.016871551020946944
75,0.00868544600938967,0.0,0.8535533905932737,0.016853259453359602
82,0.01056338028169014,0.0,0.7810416889260665,0.015489471350032204
07,0.010093896713615023,0.0,0.7810416889260654,0.01547727697164062
32,0.00892018779342723,0.0,0.7810416889260647,0.015446791025661705
57,0.007981220657276996,0.0,0.7810416889260664,0.015422402268878614
49,0.011032863849765259,0.0,0.754520707875185,0.01498502324041958
99,0.00892018779342723,0.0,0.7545207078751862,0.014930148537657577
74,0.00868544600938967,0.0,0.7545207078751863,0.014924051348461797
24,0.007511737089201878,0.0,0.7545207078751854,0.014893565402482878
83,0.010093896713615023,0.0,0.6693689601226444,0.013301834202742809
33,0.009624413145539907,0.0,0.6693689601226458,0.013289639824351274
58,0.00892018779342723,0.0,0.6693689601226459,0.013271348256763937
08,0.007511737089201878,0.0,0.6693689601226457,0.013234765121589246
73,0.009859154929577466,0.0,0.6394955530196144,0.012713787524526964
23,0.009389671361502348,0.0,0.6394955530196141,0.012701593146135398
98,0.00892018779342723,0.0,0.6394955530196142,0.012689398767743838
48,0.008215962441314555,0.0,0.6394955530196145,0.012671107200156502
59,0.011267605633802818,0.0,0.547054156659258,0.010949564237097306
84,0.009624413145539907,0.0,0.5470541566592564,0.010906883912726806
34,0.007981220657276996,0.0,0.5470541566592562,0.010864203588356339
09,0.007042253521126761,0.0,0.5470541566592572,0.010839814831573234
72,0.01244131455399061,0.0,0.5157053795390646,0.010369359719695817
22,0.01056338028169014,0.0,0.5157053795390639,0.010320582206129556
97,0.00892018779342723,0.0,0.5157053795390645,0.010277901881759102
47,0.00868544600938967,0.0,0.5157053795390647,0.010271804692563327
35,0.01056338028169014,0.0,0.4217827674798843,0.008490920932249435
60,0.009624413145539907,0.0,0.4217827674798862,0.00846653217546635
85,0.007746478873239437,0.0,0.4217827674798845,0.008417754661900072
10,0.007511737089201878,0.0,0.42178276747988463,0.008411657472704292
46,0.012910798122065728,0.0,0.3909283793017282,0.007950833314243164
71,0.010093896713615023,0.0,0.39092837930172986,0.007877667043893826
96,0.009859154929577466,0.0,0.39092837930172797,0.00787156985469801
21,0.00892018779342723,0.0,0.39092837930172875,0.007847181097914902
61,0.012206572769953052,0.0,0.3014260546826102,0.0061889899683613145
86,0.011737089201877934,0.0,0.3014260546826103,0.006176795589969756
11,0.010093896713615023,0.0,0.3014260546826098,0.006134115265599281
36,0.006572769953051643,0.0,0.30142605468261013,0.006042657427662575
70,0.0107981220657277,0.0,0.2730047501302267,0.005598745056192146
95,0.0107981220657277,0.0,0.27300475013022657,0.005598745056192144
45,0.009859154929577466,0.0,0.2730047501302268,0.005574356299409027
20,0.009859154929577466,0.0,0.2730047501302265,0.005574356299409021
62,0.01244131455399061,0.0,0.1935464731735128,0.004093536868418835
12,0.011971830985915493,0.0,0.19354647317351187,0.004081342490027256
37,0.011971830985915493,0.0,0.19354647317351126,0.0040813424900272436
87,0.009389671361502348,0.0,0.19354647317351287,0.004014273408873687
19,0.011502347417840376,0.0,0.16934406733817386,0.003597672673284954
