number,bias,entangled,wave,Ψ(n)
73,0.009859154929577466,0.5,0.6394955530196144,0.021612020492357203
53,0.011502347417840376,0.0,0.9997532801828658,0.019032932688874737
28,0.01056338028169014,0.0,0.9997532801828658,0.01900945851047098
03,0.010093896713615023,0.0,0.9997532801828658,0.018997721421269105
78,0.007981220657276996,0.0,0.9997532801828657,0.018944904519860653
54,0.0107981220657277,0.0,0.9879583809693739,0.01879417269481895
04,0.010328638497652582,0.0,0.9879583809693737,0.018782435605617067
79,0.010093896713615023,0.0,0.9879583809693735,0.018776567061016127
29,0.008450704225352112,0.0,0.9879583809693737,0.018735487248809555
77,0.011502347417840376,0.0,0.9801468428384716,0.01866531198866735
52,0.011267605633802818,0.0,0.9801468428384716,0.01865944344406641
27,0.0107981220657277,0.0,0.9801468428384714,0.018647706354864527
02,0.009389671361502348,0.0,0.9801468428384715,0.018612495087258894
05,0.0107981220657277,0.0,0.9455032620941839,0.017998139215909138
55,0.0107981220657277,0.0,0.9455032620941839,0.017998139215909138
30,0.010093896713615023,0.0,0.9455032620941842,0.01798053358210633
80,0.008450704225352112,0.0,0.9455032620941839,0.017939453769899746
51,0.01244131455399061,0.0,0.9303710135019716,0.01775548936701173
76,0.009624413145539907,0.0,0.9303710135019715,0.017685066831800458
01,0.00892018779342723,0.0,0.9303710135019718,0.01766746119799765
26,0.007042253521126761,0.0,0.9303710135019718,0.017620512841190136
06,0.012206572769953052,0.0,0.8750555348152298,0.01671245559703438
56,0.011737089201877934,0.0,0.8750555348152301,0.01670071850783251
81,0.00868544600938967,0.0,0.8750555348152302,0.016624427428020304
31,0.008450704225352112,0.0,0.87505553481523,0.01661855888341936
25,0.012206572769953052,0.0,0.8535533905932737,0.016309290392872704
50,0.010093896713615023,0.0,0.853553390593274,0.01625647349146426
00,0.009389671361502348,0.0,0.8535533905932737,0.016238867857661436
75,0.00868544600938967,0.0,0.8535533905932737,0.01622126222385862
86,0.011737089201877934,0.5,0.3014260546826103,0.015320165755345888
82,0.01056338028169014,0.0,0.7810416889260665,0.014908616174405996
07,0.010093896713615023,0.0,0.7810416889260654,0.014896879085204097
32,0.00892018779342723,0.0,0.7810416889260647,0.014867536362199391
57,0.007981220657276996,0.0,0.7810416889260664,0.014844062183795666
49,0.011032863849765259,0.0,0.754520707875185,0.014423084868903846
99,0.00892018779342723,0.0,0.7545207078751862,0.014370267967495418
74,0.00868544600938967,0.0,0.7545207078751863,0.01436439942289448
24,0.007511737089201878,0.0,0.7545207078751854,0.01433505669988977
37,0.011971830985915493,0.5,0.19354647317351126,0.01330329214665122
83,0.010093896713615023,0.0,0.6693689601226444,0.012803015420139953
33,0.009624413145539907,0.0,0.6693689601226458,0.012791278330938101
58,0.00892018779342723,0.0,0.6693689601226459,0.012773672697135289
08,0.007511737089201878,0.0,0.6693689601226457,0.01273846142952965
23,0.009389671361502348,0.0,0.6394955530196141,0.01222528340315532
98,0.00892018779342723,0.0,0.6394955530196142,0.012213546313953444
48,0.008215962441314555,0.0,0.6394955530196145,0.012195940680150633
68,0.012206572769953052,0.5,0.08645971286271992,0.011301283935424823
59,0.011267605633802818,0.0,0.547054156659258,0.010538955578206157
84,0.009624413145539907,0.0,0.5470541566592564,0.010497875765999552
34,0.007981220657276996,0.0,0.5470541566592562,0.010456795953792977
09,0.007042253521126761,0.0,0.5470541566592572,0.010433321775389238
72,0.01244131455399061,0.0,0.5157053795390646,0.009980508730207224
22,0.01056338028169014,0.0,0.5157053795390639,0.0099335603733997
97,0.00892018779342723,0.0,0.5157053795390645,0.009892480561193137
47,0.00868544600938967,0.0,0.5157053795390647,0.009886612016592203
35,0.01056338028169014,0.0,0.4217827674798843,0.008172511397290081
60,0.009624413145539907,0.0,0.4217827674798862,0.008149037218886362
85,0.007746478873239437,0.0,0.4217827674798845,0.00810208886207882
10,0.007511737089201878,0.0,0.42178276747988463,0.008096220317477882
46,0.012910798122065728,0.0,0.3909283793017282,0.007652677064959045
71,0.010093896713615023,0.0,0.39092837930172986,0.007582254529747808
96,0.009859154929577466,0.0,0.39092837930172797,0.0075763859851468345
21,0.00892018779342723,0.0,0.39092837930172875,0.007552911806743093
61,0.012206572769953052,0.0,0.3014260546826102,0.005956902844547765
11,0.010093896713615023,0.0,0.3014260546826098,0.005904085943139308
36,0.006572769953051643,0.0,0.30142605468261013,0.0058160577741252295
70,0.0107981220657277,0.0,0.2730047501302267,0.005388792116584941
95,0.0107981220657277,0.0,0.27300475013022657,0.0053887921165849395
45,0.009859154929577466,0.0,0.2730047501302268,0.005365317938181189
20,0.009859154929577466,0.0,0.2730047501302265,0.0053653179381811834
62,0.01244131455399061,0.0,0.1935464731735128,0.003940029235853129
12,0.011971830985915493,0.0,0.19354647317351187,0.003928292146651234
87,0.009389671361502348,0.0,0.19354647317351287,0.003863738156040924
19,0.011502347417840376,0.0,0.16934406733817386,0.003462759948036768
44,0.011267605633802818,0.0,0.16934406733817342,0.0034568914034358213
94,0.011032863849765259,0.0,0.1693440673381746,0.003451022858834904
69,0.00892018779342723,0.0,0.16934406733817464,0.0033982059574264546
63,0.01244131455399061,0.0,0.10492249381215496,0.0022783296228276705
13,0.01056338028169014,0.0,0.1049224938121548,0.0022313812660201553
88,0.009389671361502348,0.0,0.10492249381215502,0.0022020385430154645
38,0.007981220657276996,0.0,0.1049224938121549,0.0021668272754098287
43,0.01244131455399061,0.0,0.08645971286271903,0.0019321524800257467
18,0.010093896713615023,0.0,0.08645971286271908,0.0018734670340163578
93,0.009389671361502348,0.0,0.08645971286271886,0.0018558614002135369
64,0.013849765258215962,0.0,0.0411226871580091,0.0011172945156680695
89,0.011032863849765259,0.0,0.04112268715800915,0.0010468719804568028
39,0.010328638497652582,0.0,0.04112268715800976,0.0010292663466539974
14,0.008450704225352112,0.0,0.041122687158009374,0.0009823179898464784
17,0.011267605633802818,0.0,0.029559615522887328,0.0008359329318992076
67,0.01056338028169014,0.0,0.02955961552288744,0.0008183272980963928
42,0.009859154929577466,0.0,0.02955961552288744,0.0008007216642935759
92,0.009859154929577466,0.0,0.029559615522886773,0.0008007216642935634
65,0.011032863849765259,0.0,0.006155829702431115,0.00039124340316471477
40,0.009389671361502348,0.0,0.006155829702431115,0.0003501635909581421
90,0.00892018779342723,0.0,0.006155829702431115,0.0003384265017562641
15,0.00868544600938967,0.0,0.006155829702431226,0.0003325579571553272
41,0.01056338028169014,0.0,0.0022190176984599463,0.0003056910888883775
16,0.010093896713615023,0.0,0.002219017698460002,0.00029395399968650053
91,0.009624413145539907,0.0,0.0022190176984599463,0.0002822169104846216
66,0.009154929577464789,0.0,0.002219017698460113,0.0002704798212827468
