date,first_prize,last2,front3_1,front3_2,last3_1,last3_2,last3_3
16มีนาคม2563,503446,46,446,772,587,264,46
1มีนาคม2563,875938,38,938,982,943,285,977
16กุมภาพันธ์2563,781403,3,403,945,159,520,309
1กุมภาพันธ์2563,589227,27,227,62,595,523,759
17มกราคม2563,491774,74,774,680,41,323,795
30ธันวาคม2562,510541,41,541,811,163,821,402
16ธันวาคม2562,529924,24,924,970,431,385,556
1ธันวาคม2562,453522,22,522,812,616,170,134
16พฤศจิกายน2562,17223,23,223,321,646,400,851
1พฤศจิกายน2562,967375,75,375,793,238,60,212
16ตุลาคม2562,812564,64,564,152,556,251,325
1ตุลาคม2562,691197,97,197,593,929,206,67
16กันยายน2562,340388,88,388,857,339,479,259
1กันยายน2562,798787,87,787,202,108,472,744
16สิงหาคม2562,775476,76,476,891,499,125,635
1สิงหาคม2562,387006,6,6,581,359,835,627
15กรกฎาคม2562,369765,65,765,883,559,11,135
1กรกฎาคม2562,943647,47,647,862,398,640,63
16มิถุนายน2562,174055,55,55,296,258,841,278
1มิถุนายน2562,516461,61,461,465,897,132,155
16พฤษภาคม2562,962526,26,526,716,699,490,188
2พฤษภาคม2562,61324,24,324,250,434,763,746
16เมษายน2562,570331,31,331,235,129,309,669
1เมษายน2562,109767,67,767,528,889,594,39
16มีนาคม2562,724628,28,628,641,488,831,548
1มีนาคม2562,345650,50,650,651,379,998,308
16กุมภาพันธ์2562,74824,24,824,568,819,106,128
1กุมภาพันธ์2562,967134,34,134,46,437,791,979
17มกราคม2562,197079,79,79,652,64,121,276
30ธันวาคม2561,735867,67,867,20,319,137,18
16ธันวาคม2561,356564,64,564,624,809,482,973
1ธันวาคม2561,21840,40,840,670,453,75,619
16พฤศจิกายน2561,989903,3,903,164,719,301,408
1พฤศจิกายน2561,149840,40,840,583,845,760,465
16ตุลาคม2561,200515,15,515,931,863,921,922
1ตุลาคม2561,452643,43,643,995,947,265,618
16กันยายน2561,149760,60,760,793,235,391,552
1กันยายน2561,734510,10,510,264,645,120,972
16สิงหาคม2561,586117,17,117,103,406,705,918
1สิงหาคม2561,386602,2,602,788,329,35,497
16กรกฎาคม2561,596324,24,324,274,35,301,383
1กรกฎาคม2561,963623,23,623,834,299,12,102
16มิถุนายน2561,223131,31,131,464,325,71,328
1มิถุนายน2561,988117,17,117,953,105,532,486
