date,first_prize,last2,front3_1,front3_2,last3_1,last3_2,last3_3,last3_4
,533726,26,726,851,654,250,364,
,413494,94,494,861,809,711,282,
,880714,14,714,526,117,264,629,
,170143,43,143,711,726,473,403,
,143224,24,224,653,456,791,952,
,715431,31,431,371,153,22,539,
,756519,19,519,360,613,867,879,
,820327,27,327,875,848,353,908,
,112360,60,360,262,264,890,56,
,943142,42,142,476,268,783,737,
,53630,30,630,611,212,185,818,
,454891,91,891,530,83,964,906,
,8656,56,656,355,739,497,739,
,816729,29,729,407,669,732,418,
,392785,85,785,800,200,575,7,
,273863,63,863,923,249,186,949,
,978453,53,453,784,505,600,525,
,229116,16,116,141,284,643,759,
,54672,72,672,420,668,74,266,
,145157,57,157,255,116,635,168,
,377712,12,712,463,48,904,777,
,435286,86,286,353,665,961,997,
,86069,69,69,775,138,731,484,
,858383,83,383,440,406,825,585,
,785438,38,438,868,249,760,387,
,571947,47,947,986,928,850,325,
,887102,2,102,331,942,800,174,
,240650,50,650,424,935,830,431,
,638684,84,684,623,343,356,306,
,254004,4,4,333,669,665,966,
,272932,32,932,575,389,834,728,
,449764,64,764,555,527,341,589,
,82460,60,460,531,696,91,733,
,73816,16,816,792,518,43,217,
,511825,25,825,141,117,758,809,
,141737,37,737,983,829,750,872,
,399459,59,459,22,384,30,466,
,221609,9,609,870,82,285,75,
,66720,20,720,923,905,462,858,
,134918,18,918,328,558,770,49,
,439686,86,686,64,265,301,557,
,356364,64,364,983,126,993,95,
,927800,0,800,96,259,990,540,
,304371,71,371,500,315,327,437,
,8217,17,217,22,462,645,968,
,930255,55,255,81,402,500,946,
,915350,50,350,782,381,817,141,
,795283,83,283,32,410,286,438,
,361211,11,211,451,67,571,664,
,968630,30,630,624,571,344,120,
,594825,25,825,71,759,184,407,
,743148,48,148,64,352,93,750,
,21094,94,94,892,604,30,688,
,33363,63,363,407,812,276,246,
,518677,77,677,533,335,986,488,
,121507,7,507,497,614,618,302,
,759049,49,49,265,658,140,815,
,644742,42,742,54,292,533,865,
,388881,81,881,653,147,8,769,
,11421,21,421,387,994,848,519,
,543466,66,466,308,181,633,661,
,506260,60,260,381,11,644,959,
,605704,4,704,705,589,625,578,
,48151,51,151,923,396,226,237,
,240237,37,237,344,980,318,570,
,1864,64,864,908,431,38,253,
,155537,37,537,790,832,868,130,
,244351,51,351,740,683,985,958,
,461704,4,704,578,539,825,359,
,948354,54,354,900,807,637,759,
,480449,49,449,118,203,805,801,
,479804,4,804,251,794,224,807,
,206608,8,608,446,72,38,559,
,656409,9,409,946,477,848,489,
,375615,15,615,442,510,861,595,
,772269,69,269,351,122,573,427,
,856763,63,763,223,89,124,774,
,662842,42,842,916,399,121,876,
,766391,91,391,823,495,766,236,
,468728,28,728,451,49,441,172,
,378477,77,477,391,232,714,418,
,673920,20,920,951,581,406,395,
,781198,98,198,181,603,244,96,
,87523,23,523,201,505,51,122,
,103297,97,297,521,431,586,737,
,153406,6,406,263,440,133,556,
,28866,66,866,951,864,998,359,
,531404,4,404,792,503,54,9,
,906318,18,318,351,165,377,537,
,384245,45,245,13,975,300,745,
,180149,49,149,954,64,928,889,
,306902,2,902,522,420,771,495,
,561072,72,72,485,137,505,32,
,341767,67,767,791,112,287,428,
,168795,95,795,277,347,660,749,
,806925,25,925,280,693,46,727,
,739804,4,804,475,20,202,561,
,963289,89,289,604,25,298,769,
,647882,82,882,145,763,246,500,
,562684,84,684,630,562,355,747,
,548123,23,123,52,815,708,0,
,321327,27,327,204,179,454,482,
,356435,35,435,828,804,517,183,
,566996,96,996,863,522,105,845,
,646905,5,905,510,752,849,39,
,289673,73,673,693,900,981,145,
,935489,89,489,904,807,137,167,
,687125,25,125,560,342,613,909,
,603458,58,458,72,723,595,168,
,843846,46,846,868,348,629,68,
,571688,88,688,531,704,306,707,
,968433,33,433,528,609,591,755,
,976241,41,241,379,727,211,337,
,368257,57,257,96,577,81,93,
,565566,66,566,664,526,956,417,
,820981,81,981,85,551,963,743,
,302358,58,358,5,898,641,268,
,529524,24,524,727,347,457,780,
,110443,43,443,434,345,534,893,
,639500,0,500,155,765,608,46,
,524694,94,694,632,171,882,853,
,281343,43,343,281,520,893,968,
,124025,25,25,589,405,542,918,
,540143,43,143,792,427,521,237,
,329997,97,997,77,365,981,486,
,683877,77,877,280,326,127,757,
,895590,90,590,508,205,997,967,
,904050,50,50,118,972,241,590,
,915900,0,900,607,156,565,306,
,159373,73,373,512,387,904,795,
,882727,27,727,386,65,768,953,
,814418,18,418,315,43,99,21,
,889501,1,501,295,895,974,264,
,583470,70,470,622,160,887,227,
,257562,62,562,695,810,746,163,
,607064,64,64,86,63,335,733,
,222518,18,518,792,951,357,111,
,648684,84,684,189,62,141,114,
,320605,5,605,327,494,264,985,
,451445,45,445,813,281,509,416,
,526402,2,402,651,680,265,415,
,884178,78,178,217,842,356,512,
,408147,47,147,29,222,538,577,
,997777,77,777,574,255,514,69,
,805540,40,540,547,713,800,652,
,955756,56,756,839,910,573,295,
,511052,52,52,159,571,41,894,
,731198,98,198,283,846,458,125,
,724533,33,533,858,470,215,338,
