date,first_prize,last2,front3_1,front3_2,last3_1,last3_2,last3_3,last3_4
,374655,15,155,189,845,377,44,
,658054,14,154,111,459,509,753,
,167194,64,694,662,822,846,951,
,444172,42,472,458,771,134,196,
,536463,23,263,291,370,785,761,
,249637,67,637,677,318,303,485,
,253230,30,330,363,931,269,688,
,422212,42,412,463,536,296,630,
,482403,73,703,757,565,711,970,
,160686,46,486,403,819,416,103,
,589164,14,164,159,540,715,527,
,459807,67,607,672,950,783,676,
,322378,8,78,33,992,658,242,
,539649,69,649,675,79,455,458,
,532873,63,673,629,649,645,225,
,219094,94,994,905,516,367,330,
,440779,99,979,921,708,359,171,
,477194,44,494,488,237,586,692,
,122653,63,653,606,426,20,721,
,438023,3,23,82,694,516,619,
,562630,30,330,356,351,928,923,
,573880,80,880,837,43,977,58,
,520239,9,39,55,461,211,85,
,162238,8,38,83,862,938,161,
,167193,53,593,543,325,746,361,
,186718,58,518,592,579,70,973,
,381417,87,817,811,342,619,112,
,107683,53,583,543,43,641,38,
,353034,44,434,465,878,144,198,
,235547,47,447,472,118,115,227,
,507127,27,227,234,565,815,942,
,589886,86,886,801,186,644,668,
,509289,9,89,84,664,59,912,
,473425,15,125,139,301,637,195,
,324020,50,520,588,443,275,775,
,496890,20,290,215,624,452,87,
,373289,29,289,201,889,596,386,
,107849,69,649,682,756,481,259,
,399223,93,923,997,898,234,288,
